JNAME,P0,DM
J1311-3430,0.002560,37.80
J1312+0051,0.004228,15.35
J1312+1810A,0.033163,24.00
J1312+1810B,0.006242,25.96
J1312+1810C,0.012535,26.19
J1312+1810D,0.006070,24.61
J1312+1810E,0.003972,25.88
J1312-5402,0.728154,133.00
J1312-5516,0.849243,134.10
J1312-6400,2.437433,90.74
J1313+0931,0.848933,12.04
J1314-6101,2.948390,309.00
J1316-6147,1.932600,625.00
J1316-6232,0.342825,966.40
J1317-0157,0.002908,29.40
J1317-5759,2.642199,145.30
J1317-6302,0.261271,678.10
J1319-6056,0.284353,400.64
J1319-6105,0.421118,440.60
J1320+67,1.028620,28.00
J1320-3512,0.458488,16.91
J1320-5359,0.279738,97.31
J1321+8323,0.670037,13.32
J1321-5922,1.279058,383.00
J1322-62,1.044851,733.60
J1322-6241,0.506058,618.80
J1322-6329,2.764209,659.00
J1324-6146,0.844109,828.00
J1324-6302,2.483804,497.00
J1325-6253,0.028969,303.33
J1326+33,0.041500,4.19
J1326-4728A,0.004109,100.29
J1326-4728B,0.004792,100.25
J1326-4728C,0.006868,100.68
J1326-4728D,0.004579,96.52
J1326-4728E,0.004208,94.37
J1326-5859,0.477994,287.13
J1326-6408,0.792674,502.28
J1326-6700,0.543016,208.90
J1327+3423,0.041513,4.19
J1327-0755,0.002678,27.91
J1327-6222,0.529929,318.44
J1327-6301,0.196480,294.21
J1327-6400,0.280678,679.00
J1328-4357,0.532703,41.29
J1328-4921,1.478721,118.00
J1328-62,0.528858,194.80
J1328-6605,0.734367,329.30
J1329+13,,12.00
J1329-6158,1.565218,514.00
J1331-5245,0.648117,148.40
J1332-03,1.106400,27.10
J1332-3032,0.650434,15.10
J1333-4449,0.345603,44.30
J1333-61,1.532135,546.00
J1334+10,0.911100,24.00
J1334-5839,0.107718,119.30
J1335-3642,0.399192,41.82
J1335-5656,0.003238,
J1336+33,3.013000,8.50
J1336-2522,0.478145,37.39
J1337-4441,1.257511,97.80
J1337-6306,0.207953,777.70
J1337-6423,0.009423,259.89
J1338-6204,1.239003,643.03
J1338-6425,0.004088,85.92
J1339-4712,0.137055,40.01
J1339-6618,0.558179,241.00
J1340-6456,0.378629,76.87
J1341-6023,0.627299,364.95
J1341-6220,0.193340,719.65
J1342+2822A,0.002545,26.50
J1342+2822B,0.002389,26.15
J1342+2822C,0.002166,26.50
J1342+2822D,0.005443,26.36
J1342+2822E,0.005470,26.54
J1342+2822F,0.004400,26.47
J1343+6634,1.394104,30.03
J1344-5855,0.252398,294.10
J1344-6059,0.540102,435.00
J1345-6115,1.253087,280.43
J1346-4918,0.299625,74.61
J1347-5947,0.609972,292.21
J1348-62,0.616257,790.00
J1348-6307,0.927772,597.00
J1349-6130,0.259365,283.87
J1349-63,0.373034,478.00
J1350-5115,0.295700,90.39
J1350-6225,0.138158,
J1352-6141,0.004738,76.30
J1352-6803,0.628903,215.01
J1353-6341,2.076200,439.00
J1354+2453,0.851064,120.00
J1354+2454,0.850800,20.60
J1354-6249,2.951938,254.00
J1355-5153,0.644305,112.10
J1355-5747,2.038674,229.00
J1355-5925,1.213385,354.34
J1355-6206,0.276603,547.00
J1356-5521,0.507380,174.17
J1357-2530,0.912971,31.27
J1357-62,0.455761,416.70
J1357-6429,0.166308,127.41
J1358-59,0.374120,324.00
J1358-6025,0.060533,
J1359-6038,0.127509,293.80
J1359-6242,0.899747,784.00
J1400+21,,10.50
J1400-1431,0.003084,4.93
J1400-6325,0.031182,563.00
J1401-6357,0.842805,97.72
J1402+1306,0.005892,8.66
J1402-5021,1.380182,51.00
J1403-0314,0.362634,31.00
J1403-6310,0.399170,304.35
J1403-7646,1.306199,101.09
J1404+1159,2.650439,18.50
J1405-4656,0.007602,13.88
J1405-5641,0.617575,273.00
J1406-4233,2.436795,79.70
J1406-5806,0.288350,229.85
J1406-59,1.248312,286.00
J1406-6121,0.213075,537.29
J1407-6048,0.492344,575.20
J1407-6153,0.701615,645.00
J1408-6009,0.567635,546.00
J1409+49,1.125000,29.00
J1409-6011,0.300581,448.60
J1409-6953,0.528591,167.60
J1410-6132,0.050052,961.00
J1410-7404,0.278729,54.23
J1411+2551,0.062453,12.37
J1412+7922,0.058199,
J1412-6111,0.529158,313.61
J1412-6145,0.315258,512.48
J1413-5936,0.021676,366.00
J1413-6141,0.285625,667.60
J1413-6205,0.109741,
J1413-6222,0.292408,808.10
J1413-6307,0.394953,121.63
J1414-6802,4.630188,153.50
J1415-6621,0.392479,260.19
J1416-5033,0.794883,58.50
J1416-6037,0.295584,288.90
J1417-4402,0.002664,55.00
J1418-3921,1.096807,60.49
J1418-5945,1.672596,369.00
J1418-6058,0.110573,
J1420-5416,0.935772,129.60
J1420-5625,0.034117,64.48
J1420-6048,0.068180,360.15
J1421-4409,0.006386,54.64
J1422-6138,0.340968,
J1423-62,1.671473,382.00
J1423-6953,0.333411,123.98
J1424-5556,0.770375,199.00
J1424-56,1.427000,32.90
J1424-5822,0.366737,323.93
J1424-6438,1.023504,248.00
J1425-5723,0.353263,43.40
J1425-5759,0.707868,325.00
J1425-6210,0.501730,430.10
J1426+52,0.995800,25.37
J1426-6136,0.283700,722.00
J1427-4158,0.586486,65.40
J1428-5530,0.570293,81.88
J1429-5911,0.115843,
J1429-5935,0.763915,457.00
J1430-5712,0.491519,149.00
J1430-6623,0.785443,65.11
J1431-4715,0.002012,59.35
J1431-5740,0.004111,131.38
J1431-6328,0.002772,228.27
J1432-5032,2.034989,113.00
J1433+00,,23.50
J1433-6038,1.954430,409.00
J1434+7257,0.041741,12.61
J1434-5943,1.072121,126.00
J1434-6006,0.306368,332.00
J1434-6029,0.963348,282.00
J1435-5954,0.472997,44.04
J1435-60,3.262166,507.40
J1435-6100,0.009348,113.78
J1436-6405,0.009333,148.20
J1437-5959,0.061696,549.60
J1437-6146,0.467616,200.50
J1437-62,0.777994,323.00
J1439+7655,0.947903,22.29
J1439-5501,0.028635,14.56
J1440-6344,0.459607,124.20
J1441-6137,1.175840,166.00
J1443-5122,0.732061,87.17
J1444+18,1.132600,16.50
J1444-5941,2.760228,177.10
J1444-6026,4.758576,367.70
J1445-63,0.003719,79.00
J1446-4701,0.002195,55.83
J1447-5757,0.158730,
J1449-5846,0.463330,216.60
J1449-6339,0.029466,75.40
J1452-5549,0.075253,184.00
J1452-5851,0.386643,260.50
J1452-6036,0.154992,349.52
J1453+1902,0.005792,14.05
J1453-6413,0.179487,71.19
J1454-5416,0.396459,141.74
J1454-5846,0.045249,116.09
J1455-3330,0.007987,13.57
J1455-59,0.176191,498.00
J1456-48,0.536810,133.00
J1456-6843,0.263377,8.63
J1457-5122,1.748308,37.00
J1457-5900,1.498637,175.00
J1457-5902,0.390739,477.20
J1459-6053,0.103151,
J1500-6054,0.213661,419.20
J1501-0046,0.464037,22.26
J1501-5637,0.782949,258.00
J1502+28,3.784000,14.00
J1502+4653,1.752508,26.60
J1502-5653,0.535506,193.39
J1502-5828,0.668105,584.00
J1502-6128,0.842104,257.81
J1502-6752,0.026744,152.24
J1503+2111,3.314002,3.26
J1504-5621,0.412985,148.60
J1504-5659,1.672372,454.20
J1505-2524,0.999000,44.70
J1506-5158,0.840739,61.00
J1507-4352,0.286759,49.12
J1507-5800,0.897254,429.50
J1507-6640,0.355656,130.22
J1509+5531,0.739682,19.62
J1509-5850,0.088925,142.10
J1509-6015,0.339038,423.60
J1510-4422,0.943871,84.00
J1510-5254,0.004779,31.93
J1511-5414,0.200384,84.52
J1511-5835,0.301511,329.40
J1512-5431,2.040533,218.75
J1512-5759,0.128699,627.47
J1512-6029,0.229595,337.00
J1513-2550,0.002119,46.88
J1513-5739,0.973478,470.89
J1513-5908,0.151582,255.24
J1513-5946,1.046117,171.70
J1513-6013,1.958737,322.70
J1514-4834,0.454840,49.36
J1514-4946,0.003589,31.01
J1514-5316,0.296279,27.10
J1514-5925,0.148797,192.51
J1515+20,1.147000,22.00
J1515-5720,0.286648,480.60
J1516-43,0.036022,70.30
J1517-313,0.140668,51.00
J1517-314,1.103726,61.70
J1517-32,0.064402,25.30
J1517-4356,0.650837,87.76
J1517-4636,0.886613,127.01
J1518+0204A,0.005554,30.05
J1518+0204B,0.007947,29.47
J1518+0204C,0.002484,29.31
J1518+0204D,0.002988,29.37
J1518+0204E,0.003182,29.31
J1518+0204F,0.002654,29.41
J1518+0204G,0.002750,29.39
J1518+4904,0.040935,11.61
J1518-0627,0.794997,27.96
J1518-3952,0.499196,102.52
J1518-5415,0.214925,167.20
J1518-60,0.510656,420.00
J1519-5734,0.518758,654.70
J1519-6106,2.154307,221.00
J1519-6308,1.254052,249.82
J1520-5402,0.270699,33.70
J1521-57,0.173682,270.00
J1522-5525,1.389605,79.00
J1522-5735,0.102136,
J1522-5829,0.395355,199.70
J1523-3235,1.504835,72.30
J1524-5625,0.078244,152.05
J1524-5706,1.116174,832.00
J1524-5819,0.961043,406.60
J1525-5417,1.011694,235.00
J1525-5523,0.355156,124.70
J1525-5545,0.011360,126.96
J1525-5605,0.280349,333.50
J1526-2744,0.002489,30.95
J1526-5633,0.301888,329.00
J1526-5652,0.848913,430.00
J1527-3931,2.417605,48.80
J1527-5552,1.048720,370.05
J1528-3146,0.060822,18.16
J1528-4109,0.526556,89.31
J1528-5547,3.467302,269.00
J1528-5838,0.355687,
J1529+40,0.476400,6.61
J1529-26,0.799000,44.60
J1529-3828,0.008486,73.66
J1529-5102,1.268454,193.80
J1529-5355,0.891265,292.00
J1529-5609,0.036032,127.80
J1529-5611,0.822249,149.00
J1530-2114,0.505000,38.05
J1530-5327,0.278960,48.99
J1530-5724,0.568030,253.60
J1530-6343,0.910320,206.43
J1531-4012,0.356849,106.60
J1531-5610,0.084211,110.71
J1532+2745,1.124836,14.69
J1532-5308,0.443825,181.00
J1532-56,0.522977,282.00
J1534-4428,1.221426,137.46
J1534-46,0.364835,64.00
J1534-5334,1.368882,25.27
J1534-5405,0.289690,190.60
J1535-4114,0.432869,66.14
J1535-4415,0.468402,110.70
J1535-5450,0.566734,219.80
J1535-5848,0.307179,107.40
J1536+17,0.933300,29.00
J1536-30,1.901000,63.60
J1536-3602,1.319759,86.40
J1536-4948,0.003080,38.00
J1536-5433,0.881438,147.50
J1536-5907,0.557841,316.00
J1536-6142,0.369501,292.00
J1536-6149,0.006875,245.00
J1537+1155,0.037904,11.62
J1537-4912,0.301312,69.79
J1537-5153,1.528124,93.00
J1537-5312,0.006927,117.69
J1537-5645,0.430464,707.00
J1537-61,0.369501,288.70
J1538+2345,3.449385,14.91
J1538-5438,0.276726,136.90
J1538-5519,0.395731,611.00
J1538-5551,0.104676,602.67
J1538-5621,1.908494,150.00
J1538-5638,0.843980,546.00
J1538-5732,0.341216,151.44
J1538-5750,0.506568,91.00
J1539-4828,1.272842,117.00
J1539-5521,1.004958,380.00
J1539-5626,0.243395,175.97
J1539-6322,1.630846,163.50
J1540-5736,0.612916,304.50
J1540-5821,3.474720,427.00
J1541+4703,0.277701,19.40
J1541-42,,60.00
J1541-5535,0.295838,426.10
J1542-5034,0.599249,89.57
J1542-5133,1.783865,186.00
J1542-5303,1.207621,265.58
J1543+0929,0.748449,34.98
J1543-0620,0.709065,18.53
J1543-5013,0.644255,211.00
J1543-5149,0.002057,50.98
J1543-5439,0.004312,102.16
J1543-5459,0.377138,344.99
J1544+4937,0.002159,23.22
J1544-0713,0.484130,30.73
J1544-5308,0.178554,35.21
J1545-4550,0.003575,68.39
J1546-3747A,0.002606,92.17
J1546-5302,0.580848,286.54
J1546-5925,0.007797,168.50
J1547-0944,1.576925,37.42
J1547-5056,0.452782,107.00
J1547-5709,0.004291,95.72
J1547-5750,0.647198,148.00
J1547-5839,0.242191,223.51
J1548-4821,0.145655,125.65
J1548-4927,0.602741,140.79
J1548-55,0.541382,446.00
J1548-5607,0.170942,314.39
J1549+2113,1.262471,24.05
J1549-4848,0.288355,55.98
J1549-5337,0.003317,184.00
J1549-57,0.737500,18.00
J1549-5722,0.497772,102.00
J1550-5242,0.749671,337.66
J1550-5317,1.421124,600.00
J1550-5418,2.069833,697.00
J1551-0658,0.007094,21.58
J1551-4424,0.674060,66.33
J1551-5310,0.453448,491.60
J1551-6214,0.198839,123.56
J1552+5437,0.002428,22.90
J1552-4937,0.006284,113.80
J1553-5456,1.081347,210.00
J1554+18,,24.00
J1554-4854,0.464779,255.60
J1554-5209,0.125230,130.80
J1554-5512,3.418039,450.00
J1554-5906,0.008702,130.13
J1555+01,,18.50
J1555-0515,0.975410,23.46
J1555-2341,0.532578,52.24
J1555-2908,0.001788,75.91
J1555-3134,0.518110,73.05
J1555-53,1.170896,785.00
J1556-52,1.170894,757.00
J1556-5358,0.994681,436.00
J1557-4258,0.329187,144.50
J1557-5151,0.408155,464.00
J1557-54,0.583758,714.00
J1558-5419,0.594575,657.00
J1558-5756,1.122342,127.80
J1558-67,0.267268,105.00
J1559-44,1.169890,122.00
J1559-4438,0.257057,56.04
J1559-55,1.300737,345.00
J1559-5545,0.957267,212.90
J1600-3053,0.003598,52.33
J1600-49,0.287526,328.00
J1600-5044,0.192606,262.79
J1600-5751,0.194456,176.51
J1600-5916,1.247666,177.00
J1601-50,0.860777,59.00
J1601-5244,2.559357,273.00
J1601-5335,0.288479,195.20
J1602+3901,0.003708,17.26
J1602-1009,0.003116,34.35
J1602-4957,0.819990,319.00
J1602-5100,0.864297,170.81
J1603+18,0.503000,29.70
J1603-1655,0.714700,63.22
J1603-2531,0.283071,53.76
J1603-2712,0.778316,45.98
J1603-3539,0.141909,78.42
J1603-5312,0.839221,142.00
J1603-54,0.960792,472.00
J1603-5657,0.496080,264.18
J1603-7202,0.014842,38.05
J1604-0057,1.675869,32.30
J1604-3142,0.883890,58.30
J1604-44,1.389200,175.00
J1604-4718,0.527466,55.10
J1604-4832,0.007718,207.80
J1604-4909,0.327419,140.75
J1604-7203,0.341403,54.37
J1605+3249,6.880000,
J1605-52,2.193373,461.00
J1605-5215,1.013609,532.00
J1605-5228,2.193373,461.00
J1605-5257,0.658013,34.79
J1607-0032,0.421816,10.68
J1607-5140,0.342723,533.00
J1607-6449,0.298116,89.39
J1609-1930,1.557917,37.00
J1609-4616,0.249609,150.01
J1609-5158,1.279402,1069.00
J1610-1322,1.018393,49.13
J1610-17,,53.00
J1610-4938,0.227419,365.00
J1610-5006,0.481119,410.00
J1610-5303,0.786468,380.10
J1611-01,1.296870,27.21
J1611-0114,2.593726,27.70
J1611-29,0.009600,83.03
J1611-4811,1.296850,221.00
J1611-4949,0.666438,555.71
J1611-5209,0.182495,127.26
J1611-5847,0.354550,79.90
J1612+2008,0.426646,19.51
J1612-2408,0.923834,49.20
J1612-49,0.192687,439.00
J1612-5022,1.368283,248.70
J1612-5136,0.483311,1173.00
J1612-53,0.732121,573.80
J1612-55,0.846907,312.00
J1612-5805,0.615521,170.98
J1613-4714,0.382377,160.17
J1613-5211,0.457516,361.87
J1613-5234,0.655221,624.00
J1614+0737,1.206803,21.39
J1614-2230,0.003151,34.48
J1614-2318,0.033504,52.43
J1614-3846,0.464106,111.00
J1614-3937,0.407292,151.90
J1614-4608,0.888793,318.00
J1614-5048,0.231694,582.40
J1614-5144,1.534008,748.00
J1614-52,0.509903,673.00
J1614-5402,0.572592,300.00
J1615-2940,2.477568,44.79
J1615-4958,0.558258,240.70
J1615-5137,0.179278,
J1615-5444,0.360958,312.60
J1615-5537,0.791528,124.50
J1615-5609,0.003359,72.03
J1616-5017,0.491384,194.00
J1616-5109,1.219594,1160.00
J1616-5208,1.025831,488.00
J1617+1123,0.894924,48.61
J1617-2258A,0.004318,66.81
J1617-4216,3.428479,164.38
J1617-4608,0.567080,321.50
J1617-5055,0.069357,467.00
J1618-36,0.005779,104.00
J1618-3921,0.011987,117.95
J1618-42,1.867136,200.50
J1618-4624,0.005931,125.41
J1618-4723,0.407109,134.58
J1619+3953,1.883798,23.00
J1619-3345,1.158600,89.70
J1619-42,1.023152,172.00
J1620-4927,0.171935,
J1620-5414,1.156360,71.00
J1621-5039,1.084029,264.60
J1621-5243,0.371925,363.39
J1622-0315,0.003845,21.41
J1622-3751,0.731463,155.70
J1622-4332,0.916939,230.68
J1622-4347,0.457681,177.00
J1622-4802,0.265072,366.42
J1622-4845,0.735092,292.00
J1622-4944,1.072968,755.00
J1622-4950,4.327020,820.00
J1622-6617,0.023623,88.00
J1623-0841,0.503015,59.79
J1623-0908,1.276448,68.22
J1623-2631,0.011076,62.86
J1623-4256,0.364591,295.00
J1623-4608,0.866306,110.00
J1623-4931,0.492347,727.00
J1623-4949,0.725762,181.73
J1623-5005,0.085072,
J1623-6936,0.002410,46.41
J1624+5850,0.651801,26.40
J1624+8643,0.395763,46.55
J1624-39,0.002960,77.50
J1624-4041,0.167861,
J1624-4411,0.233165,140.66
J1624-4613,0.871243,224.20
J1624-4721,0.448723,364.00
J1625-0021,0.002834,16.50
J1625-4048,2.355278,145.00
J1625-4904,0.460339,684.80
J1625-4913,0.355856,720.00
J1626-44,0.308354,269.20
J1626-4537,0.370147,236.58
J1626-4807,0.293928,817.00
J1626-6621,0.450868,84.11
J1627+1419,0.490857,32.17
J1627+3219,0.002183,
J1627-4706,0.140746,456.10
J1627-4845,0.612331,557.80
J1627-49,0.623678,594.00
J1627-51,0.439684,201.00
J1627-5547,0.352465,165.54
J1627-5936,0.354234,99.45
J1628+4406,0.181178,7.33
J1628-3205,0.003212,42.15
J1628-46,0.449439,513.00
J1628-4804,0.865971,952.00
J1628-4828,4.137539,1209.00
J1629+33,1.525000,35.00
J1629+4636,0.314056,34.80
J1629-3636,2.988193,101.00
J1629-3825,0.526365,127.69
J1629-6902,0.006001,29.49
J1630+3550,0.003229,17.45
J1630+3734,0.003318,14.18
J1630-2609,1.912420,76.60
J1630-4719,0.559081,487.95
J1630-4733,0.575971,509.30
J1631+1252,0.310186,32.59
J1631-1612,0.677684,33.77
J1631-4155,0.551241,235.00
J1631-47,1.103326,756.00
J1631-4722,0.118719,873.75
J1632-1013,0.717637,89.90
J1632-4509,1.046810,412.00
J1632-4621,1.709208,562.00
J1632-4757,0.228569,574.20
J1632-4818,0.813672,758.00
J1632-49,0.416836,814.00
J1633-2009,0.935557,48.19
J1633-4453,0.436507,472.22
J1633-4805,0.710830,1120.00
J1633-4859,2.514780,1020.00
J1633-5015,0.352145,399.00
J1634+02,0.002120,
J1634-4229,2.015263,337.90
J1634-49,0.684936,465.00
J1634-495,0.356715,465.00
J1634-5107,0.507356,373.00
J1634-5640,0.224201,147.76
J1635+2332,1.208694,37.57
J1635+2418,0.490507,24.27
J1635-1511,1.179387,54.00
J1635-4513,1.594746,416.00
J1635-46,1.488903,549.00
J1635-47,0.504831,872.00
J1635-4735,2.594578,
J1635-4944,0.671964,474.00
J1635-5954,0.529123,134.53
J1636-2614,0.510454,92.72
J1636-4217,0.555086,345.00
J1636-4440,0.206649,449.00
J1636-4803,1.204644,503.00
J1636-4933,0.430367,542.70
J1636-51,0.340106,312.60
J1637-4335,0.771367,608.00
J1637-4450,0.252870,468.57
J1637-4553,0.118774,193.66
J1637-46,0.493091,660.40
J1637-4642,0.154066,419.50
J1637-4721,1.165741,448.00
J1637-4816,0.837365,738.00
J1638+4005,0.767720,33.42
J1638-35,0.705000,115.10
J1638-3815,0.698261,239.17
J1638-3951,0.771130,249.00
J1638-4233,0.510929,406.00
J1638-4344,1.121944,237.00
J1638-44,0.568057,494.00
J1638-4417,0.117803,436.13
J1638-4608,0.278155,423.10
J1638-47,0.426668,1374.00
J1638-4713,0.065740,1533.00
J1638-4725,0.763933,552.10
J1638-5226,0.340504,168.87
J1639-1126,1.430695,103.80
J1639-4359,0.587559,258.90
J1639-46,0.519137,917.00
J1639-4604,0.529121,257.36
J1640+2224,0.003163,18.43
J1640-4631,0.206443,
J1640-4648,0.178352,474.00
J1640-4715,0.517445,586.32
J1640-4951,0.739099,407.40
J1641+3627A,0.010378,30.44
J1641+3627B,0.003528,29.45
J1641+3627C,0.003722,30.13
J1641+3627D,0.003118,30.45
J1641+3627E,0.002487,30.54
J1641+3627F,0.003004,30.37
J1641+3627I,0.006375,29.58
J1641+8049,0.002021,31.09
J1641-2347,1.091008,27.70
J1641-49,0.795190,578.00
J1641-5317,0.175106,
J1643+1338,1.099047,35.82
J1643-10,,75.85
J1643-1224,0.004622,62.40
J1643-4505,0.237390,478.60
J1643-4522,1.347899,482.00
J1643-4550,0.717528,450.18
J1644-33,0.397000,130.30
J1644-44,0.173911,535.10
J1644-4559,0.455078,478.66
J1644-46,0.250941,405.80
J1644-4657,0.125962,718.00
J1645+1012,0.410861,36.17
J1645-0317,0.387692,35.76
J1645-4836,1.660080,687.00
J1646-1910,4.817736,55.00
J1646-2142,0.005853,29.74
J1646-4308,0.840680,595.00
J1646-4346,0.231603,490.40
J1646-4406,,74.00
J1646-4545,0.431784,1029.00
J1646-5123,0.530075,279.00
J1646-6831,1.785614,41.92
J1647+6608,1.599798,22.55
J1647+6609,1.599799,22.55
J1647-3607,0.212316,228.50
J1647-4552,10.610656,
J1647-49,0.247528,515.00
J1648-3256,0.719458,128.28
J1648-4458,0.629632,925.00
J1648-4611,0.164966,393.20
J1648-6044,0.583765,106.26
J1649+2533,1.015257,34.46
J1649-3012,0.003424,
J1649-3752,0.587242,222.90
J1649-3805,0.262026,214.40
J1649-3935,0.770910,290.00
J1649-4230,0.676410,374.00
J1649-4349,0.870712,396.00
J1649-4653,0.557036,331.00
J1649-4729,0.297692,540.20
J1649-5553,0.613571,180.40
J1650-1654,1.749554,43.03
J1650-4126,0.308918,251.47
J1650-4341,0.309398,672.80
J1650-4502,0.380870,320.20
J1650-4601,0.127123,
J1650-4921,0.156400,228.37
J1650-5025,0.059676,213.50
J1651+14,0.828000,48.00
J1651-1709,0.973396,33.60
J1651-4246,0.844081,483.24
J1651-4519,0.517443,562.00
J1651-46,0.569352,487.00
J1651-5222,0.635058,178.25
J1651-5255,0.890537,164.00
J1651-7642,1.755312,59.85
J1652+2651,0.915803,40.80
J1652-1400,0.305447,47.11
J1652-2404,1.703739,68.41
J1652-4237,0.496548,943.00
J1652-4406,7.707183,786.00
J1652-4838,0.003785,188.16
J1652-5154,0.599681,265.80
J1653-0158,0.001968,
J1653-2054,0.004129,56.52
J1653-3838,0.305040,206.52
J1653-4030,1.019372,425.00
J1653-4105,0.498978,419.40
J1653-4249,0.612558,416.10
J1653-4315,0.419280,337.00
J1653-45,0.950977,207.00
J1653-4854,3.059510,354.00
J1654-23,0.545360,75.00
J1654-26,1.623730,103.30
J1654-2713,0.791822,92.31
J1654-3710,0.939165,302.00
J1654-4140,1.273945,307.00
J1654-4245,1.101555,950.00
J1655-3048,0.542936,154.50
J1655-3844,1.193439,365.00
J1655-401,0.276689,439.00
J1655-404,2.927288,88.20
J1656+00,1.497850,46.90
J1656+6203,0.776155,35.26
J1656-3621,0.730134,228.08
J1657+3304,1.570276,23.97
J1657-0406A,0.004730,43.90
J1657-0406B,0.007350,43.35
J1657-4432,0.609613,375.38
J1657-46,0.892310,682.00
J1658+3630,0.033028,3.04
J1658-2823,3.359700,85.50
J1658-4306,1.166449,845.00
J1658-47,0.369365,533.00
J1658-4958,0.416876,192.41
J1658-5324,0.002439,30.83
J1659-1305,0.640958,60.37
J1659-4316,0.474381,641.00
J1659-4439,0.353293,536.32
J1659-54,0.544573,134.00
J1700-0954,0.817312,64.10
J1700-3312,1.358311,166.66
J1700-3611,1.494091,232.70
J1700-39,3.746460,509.00
J1700-3919,0.560504,354.30
J1700-4012,0.283792,385.00
J1700-4422,0.755535,404.90
J1700-4939,0.578363,278.00
J1701-3006A,0.005242,114.97
J1701-3006B,0.003594,113.46
J1701-3006C,0.007613,114.56
J1701-3006D,0.003418,114.22
J1701-3006E,0.003234,113.79
J1701-3006F,0.002295,113.29
J1701-3006G,0.004608,113.68
J1701-3006H,0.003705,114.70
J1701-3006I,0.003296,113.35
J1701-3130,0.291341,130.73
J1701-3726,2.454618,303.40
J1701-4533,0.322909,526.86
J1701-4958,0.804304,230.00
J1702-3932,0.390328,530.00
J1702-4128,0.182136,365.75
J1702-4145,0.345805,945.00
J1702-4217,0.227565,629.00
J1702-4306,0.215508,538.40
J1702-4310,0.240524,377.60
J1702-4428,2.123506,395.00
J1703-18,1.270240,46.00
J1703-1846,0.804343,49.63
J1703-3241,1.211785,110.31
J1703-38,6.443000,375.00
J1703-4442,1.747293,280.20
J1703-4851,1.396405,149.65
J1704-3549,2.270547,291.60
J1704-3756,0.305234,405.70
J1704-5236,0.230709,163.76
J1704-6016,0.306323,54.00
J1705-04,0.237480,42.95
J1705-1903,0.002480,57.50
J1705-1906,0.298991,22.91
J1705-3423,0.255427,146.15
J1705-3936,0.854482,598.00
J1705-3950,0.318979,207.25
J1705-4108,0.861067,1077.00
J1705-4331,0.222561,185.22
J1705-6135,0.808546,95.00
J1706+59,1.476690,30.80
J1706-3839,0.586287,626.00
J1706-4020,0.180632,598.00
J1706-4310,0.616979,656.10
J1706-4434,0.429922,467.00
J1706-6118,0.361921,76.13
J1707+35,0.159800,19.24
J1707-4053,0.581018,351.78
J1707-4341,0.890598,398.39
J1707-4417,5.763777,380.00
J1707-4729,0.266475,268.39
J1708+02,0.410772,29.00
J1708-3426,0.692116,188.70
J1708-3506,0.004505,146.76
J1708-3641,0.587567,316.00
J1708-38,0.669836,526.00
J1708-3827,1.225782,788.00
J1708-4008,11.006262,
J1708-4522,1.297837,454.00
J1708-4843,0.016657,28.70
J1708-52,0.449620,102.60
J1708-7539,1.191024,37.00
J1709+2313,0.004631,25.35
J1709-0333,0.003524,35.79
J1709-1640,0.653061,24.89
J1709-3626,0.447859,394.00
J1709-3841,0.586986,356.00
J1709-43,,228.00
J1709-4342,1.735898,281.00
J1709-4401,0.865238,226.03
J1709-4429,0.102533,75.58
J1710+4923,0.003220,7.08
J1710-2616,0.954158,110.00
J1710-37,0.792659,346.00
J1710-3946,0.977337,1198.00
J1710-4148,0.286561,461.00
J1711-1509,0.868805,59.82
J1711-3826,0.465365,376.00
J1711-4322,0.102618,191.50
J1711-5350,0.899233,106.10
J1712-2715,0.255360,91.78
J1712-391,0.778149,525.00
J1712-392,0.092528,713.00
J1713+0747,0.004570,15.99
J1713+7810,0.432526,36.98
J1713-3844,1.600114,544.00
J1713-3949,0.392451,342.00
J1714-1054,2.088836,51.50
J1714-3810,3.824936,
J1714-3830,0.084140,
J1715+46,0.548100,19.82
J1715-3247,1.260214,164.00
J1715-3700,0.779628,449.00
J1715-3859,0.928108,806.20
J1715-3903,0.278494,314.00
J1715-4034,2.072155,254.00
J1715-4254,0.573745,407.00
J1716+34,0.002110,
J1716-3720,0.630314,682.70
J1716-3811,0.829120,1219.00
J1716-4005,0.311813,435.00
J1716-4111,1.036067,245.80
J1716-4711,0.555825,287.01
J1717+03,3.901000,25.60
J1717+4308A,0.003160,35.42
J1717-3425,0.656299,583.46
J1717-3737,0.682419,522.70
J1717-3847,1.149499,707.00
J1717-3953,1.085521,466.00
J1717-4043,0.397857,452.60
J1717-40435,0.349929,539.00
J1717-4054,0.887719,306.90
J1717-41,0.546233,356.00
J1717-5800,0.321793,125.31
J1718-3714,1.289379,833.00
J1718-3718,3.378574,371.10
J1718-3825,0.074675,247.46
J1718-41,0.548419,354.00
J1718-4539,0.590473,254.00
J1719-1438,0.005790,36.78
J1719-2330,0.453993,101.00
J1719-3458,0.493775,530.00
J1719-36,0.757151,624.00
J1719-4006,0.189094,386.12
J1719-4302,0.235475,298.06
J1720+00,3.357000,46.20
J1720+2150,1.615664,40.72
J1720-0212,0.477715,66.98
J1720-0533,0.003268,36.83
J1720-1633,1.565606,45.06
J1720-2446,0.874265,104.30
J1720-2933,0.620449,42.74
J1720-36,0.092132,341.00
J1720-3659,0.351125,378.97
