
index,JNAME,P0,P1,F0,F1,DM,
1036,J1420-6048,0.068180,8.32e-14,14.667084,-1.789e-11,360.15,
1037,J1421-4409,0.006386,1.24e-20,156.599196,-3.033e-16,54.64,
1038,J1422-6138,0.340968,9.68e-14,2.932828,-8.329e-13,,
1039,J1423-62,1.671473,,0.598275,,382.00,
1040,J1423-6953,0.333411,1.45e-15,2.999304,-1.306e-14,123.98,
1041,J1424-5556,0.770375,7.80e-16,1.298069,-1.315e-15,199.00,
1042,J1424-56,1.427000,,0.700771,,32.90,
1043,J1424-5822,0.366737,3.95e-15,2.726751,-2.935e-14,323.93,
1044,J1424-6438,1.023504,2.40e-16,0.977036,-2.291e-16,248.00,
1045,J1425-5723,0.353263,2.20e-17,2.830753,-1.763e-16,43.40,
1046,J1425-5759,0.707868,7.42e-16,1.412694,-1.481e-15,325.00,
1047,J1425-6210,0.501730,4.78e-16,1.993103,-1.900e-15,430.10,
1048,J1426+52,0.995800,,1.004218,,25.37,
1049,J1426-6136,0.283700,,3.524849,,722.00,
1050,J1427-4158,0.586486,6.21e-16,1.705072,-1.806e-15,65.40,
1051,J1428-5530,0.570293,2.09e-15,1.753485,-6.416e-15,81.88,
1052,J1429-5911,0.115843,3.05e-14,8.632402,-2.273e-12,,
1053,J1429-5935,0.763915,4.28e-14,1.309046,-7.326e-14,457.00,
1054,J1430-5712,0.491519,4.69e-14,2.034510,-1.943e-13,149.00,
1055,J1430-6623,0.785443,2.78e-15,1.273166,-4.502e-15,65.11,
1056,J1431-4715,0.002012,1.41e-20,497.029394,-3.486e-15,59.35,
1057,J1431-5740,0.004111,6.42e-21,243.276805,-3.800e-16,131.38,
1058,J1431-6328,0.002772,,360.711889,,228.27,
1059,J1432-5032,2.034989,5.92e-15,0.491403,-1.431e-15,113.00,
1060,J1433+00,,,,,23.50,
1061,J1433-6038,1.954430,5.63e-15,0.511658,-1.474e-15,409.00,
1062,J1434+7257,0.041741,5.48e-19,23.957175,-3.148e-16,12.61,
1063,J1434-5943,1.072121,2.96e-17,0.932730,-2.575e-17,126.00,
1064,J1434-6006,0.306368,3.02e-15,3.264050,-3.218e-14,332.00,
1065,J1434-6029,0.963348,1.03e-15,1.038046,-1.110e-15,282.00,
1066,J1435-5954,0.472997,1.55e-15,2.114180,-6.919e-15,44.04,
1067,J1435-60,3.262166,,0.306545,,507.40,
1068,J1435-6100,0.009348,2.45e-20,106.975072,-2.800e-16,113.78,
1069,J1436-6405,0.009333,,107.147017,,148.20,
1070,J1437-5959,0.061696,8.59e-15,16.208474,-2.256e-12,549.60,
1071,J1437-6146,0.467616,6.33e-15,2.138505,-2.895e-14,200.50,
1072,J1437-62,0.777994,,1.285357,,323.00,
1073,J1439+7655,0.947903,,1.054960,,22.29,
1074,J1439-5501,0.028635,1.42e-19,34.922434,-1.729e-16,14.56,
1075,J1440-6344,0.459607,1.12e-15,2.175773,-5.306e-15,124.20,
1076,J1441-6137,1.175840,3.60e-16,0.850456,-2.604e-16,166.00,
1077,J1443-5122,0.732061,3.46e-16,1.366006,-6.451e-16,87.17,
1078,J1444+18,1.132600,,0.882924,,16.50,
1079,J1444-5941,2.760228,8.23e-15,0.362289,-1.080e-15,177.10,
1080,J1444-6026,4.758576,1.85e-14,0.210147,-8.188e-16,367.70,
1081,J1445-63,0.003719,,268.913454,,79.00,
1082,J1446-4701,0.002195,9.81e-21,455.644016,-2.036e-15,55.83,
1083,J1447-5757,0.158730,1.17e-14,6.300000,-4.660e-13,,
1084,J1449-5846,0.463330,8.60e-17,2.158291,-4.006e-16,216.60,
1085,J1449-6339,0.029466,,33.937212,,75.40,
1086,J1452-5549,0.075253,,13.288560,,184.00,
1087,J1452-5851,0.386643,5.07e-14,2.586366,-3.392e-13,260.50,
1088,J1452-6036,0.154992,1.45e-15,6.451934,-6.045e-14,349.52,
1089,J1453+1902,0.005792,1.17e-20,172.642910,-3.474e-16,14.05,
1090,J1453-6413,0.179487,2.74e-15,5.571421,-8.519e-14,71.19,
1091,J1454-5416,0.396459,,2.522327,,141.74,
1092,J1454-5846,0.045249,8.17e-19,22.100047,-3.990e-16,116.09,
1093,J1455-3330,0.007987,2.43e-20,125.200245,-3.810e-16,13.57,
1094,J1455-59,0.176191,,5.675652,,498.00,
1095,J1456-48,0.536810,,1.862857,,133.00,
1096,J1456-6843,0.263377,9.89e-17,3.796840,-1.426e-15,8.63,
1097,J1457-5122,1.748308,5.30e-15,0.571982,-1.733e-15,37.00,
1098,J1457-5900,1.498637,3.66e-15,0.667273,-1.630e-15,175.00,
1099,J1457-5902,0.390739,1.23e-14,2.559251,-8.060e-14,477.20,
1100,J1459-6053,0.103151,2.53e-14,9.694559,-2.375e-12,,
1101,J1500-6054,0.213661,,4.680303,,419.20,
1102,J1501-0046,0.464037,2.39e-16,2.155001,-1.110e-15,22.26,
1103,J1501-5637,0.782949,1.70e-16,1.277223,-2.773e-16,258.00,
1104,J1502+28,3.784000,,0.264271,,14.00,
1105,J1502+4653,1.752508,1.72e-16,0.570611,-5.600e-17,26.60,
1106,J1502-5653,0.535506,1.83e-15,1.867394,-6.375e-15,193.39,
1107,J1502-5828,0.668105,3.64e-14,1.496770,-8.155e-14,584.00,
1108,J1502-6128,0.842104,1.36e-15,1.187501,-1.912e-15,257.81,
1109,J1502-6752,0.026744,3.15e-19,37.390972,-4.397e-16,152.24,
1110,J1503+2111,3.314002,1.40e-16,0.301750,-1.275e-17,3.26,
1111,J1504-5621,0.412985,5.53e-15,2.421394,-3.242e-14,148.60,
1112,J1504-5659,1.672372,1.43e-15,0.597953,-5.106e-16,454.20,
1113,J1505-2524,0.999000,,1.001001,,44.70,
1114,J1506-5158,0.840739,6.37e-15,1.189430,-9.012e-15,61.00,
1115,J1507-4352,0.286759,1.58e-15,3.487252,-1.927e-14,49.12,
1116,J1507-5800,0.897254,2.60e-16,1.114511,-3.233e-16,429.50,
1117,J1507-6640,0.355656,1.15e-15,2.811702,-9.107e-15,130.22,
1118,J1509+5531,0.739682,5.00e-15,1.351932,-9.135e-15,19.62,
1119,J1509-5850,0.088925,9.17e-15,11.245449,-1.159e-12,142.10,
1120,J1509-6015,0.339038,2.12e-15,2.949518,-1.845e-14,423.60,
1121,J1510-4422,0.943871,6.10e-16,1.059466,-6.847e-16,84.00,
1122,J1510-5254,0.004779,,209.247361,,31.93,
1123,J1511-5414,0.200384,4.85e-16,4.990418,-1.207e-14,84.52,
1124,J1511-5835,0.301511,3.44e-16,3.316634,-3.784e-15,329.40,
1125,J1512-5431,2.040533,1.96e-15,0.490068,-4.701e-16,218.75,
1126,J1512-5759,0.128699,6.85e-15,7.770094,-4.137e-13,627.47,
1127,J1512-6029,0.229595,,4.355494,,337.00,
1128,J1513-2550,0.002119,2.16e-20,471.905670,-4.812e-15,46.88,
1129,J1513-5739,0.973478,2.75e-14,1.027245,-2.905e-14,470.89,
1130,J1513-5908,0.151582,1.53e-12,6.597092,-6.653e-11,255.24,
1131,J1513-5946,1.046117,8.53e-15,0.955916,-7.793e-15,171.70,
1132,J1513-6013,1.958737,1.37e-15,0.510533,-3.573e-16,322.70,
1133,J1514-4834,0.454840,9.26e-16,2.198573,-4.477e-15,49.36,
1134,J1514-4946,0.003589,1.86e-20,278.603009,-1.447e-15,31.01,
1135,J1514-5316,0.296279,1.60e-18,3.375195,-1.823e-17,27.10,
1136,J1514-5925,0.148797,2.88e-15,6.720544,-1.300e-13,192.51,
1137,J1515+20,1.147000,,0.871840,,22.00,
1138,J1515-5720,0.286648,6.09e-15,3.488596,-7.416e-14,480.60,
1139,J1516-43,0.036022,,27.760652,,70.30,
1140,J1517-313,0.140668,,7.108953,,51.00,
1141,J1517-314,1.103726,,0.906022,,61.70,
1142,J1517-32,0.064402,,15.527492,,25.30,
1143,J1517-4356,0.650837,2.15e-16,1.536483,-5.087e-16,87.76,
1144,J1517-4636,0.886613,2.10e-15,1.127887,-2.670e-15,127.01,
1145,J1518+0204A,0.005554,4.13e-20,180.063624,-1.339e-15,30.05,
1146,J1518+0204B,0.007947,-3.31e-21,125.834588,5.238e-17,29.47,
1147,J1518+0204C,0.002484,2.61e-20,402.588228,-4.227e-15,29.31,
1148,J1518+0204D,0.002988,2.22e-20,334.674673,-2.484e-15,29.37,
1149,J1518+0204E,0.003182,1.79e-20,314.238095,-1.771e-15,29.31,
1150,J1518+0204F,0.002654,2.21e-20,376.762524,-3.140e-15,29.41,
1151,J1518+0204G,0.002750,1.25e-20,363.611666,-1.649e-15,29.39,
1152,J1518+4904,0.040935,2.72e-20,24.428979,-1.623e-17,11.61,
1153,J1518-0627,0.794997,4.18e-16,1.257867,-6.614e-16,27.96,
1154,J1518-3952,0.499196,2.37e-16,2.003221,-9.500e-16,102.52,
1155,J1518-5415,0.214925,4.06e-17,4.652790,-8.789e-16,167.20,
1156,J1518-60,0.510656,,1.958267,,420.00,
1157,J1519-5734,0.518758,4.27e-15,1.927682,-1.588e-14,654.70,
1158,J1519-6106,2.154307,8.37e-15,0.464186,-1.804e-15,221.00,
1159,J1519-6308,1.254052,6.00e-15,0.797415,-3.817e-15,249.82,
1160,J1520-5402,0.270699,,3.694137,,33.70,
1161,J1521-57,0.173682,,5.757659,,270.00,
1162,J1522-5525,1.389605,3.30e-15,0.719629,-1.709e-15,79.00,
1163,J1522-5735,0.102136,3.12e-14,9.790869,-2.995e-12,,
1164,J1522-5829,0.395355,2.06e-15,2.529374,-1.316e-14,199.70,
1165,J1523-3235,1.504835,9.53e-16,0.664525,-4.210e-16,72.30,
1166,J1524-5625,0.078244,3.90e-14,12.780534,-6.366e-12,152.05,
1167,J1524-5706,1.116174,3.56e-13,0.895917,-2.860e-13,832.00,
1168,J1524-5819,0.961043,1.26e-13,1.040537,-1.364e-13,406.60,
1169,J1525-5417,1.011694,1.62e-14,0.988441,-1.580e-14,235.00,
1170,J1525-5523,0.355156,8.96e-18,2.815664,-7.103e-17,124.70,
1171,J1525-5545,0.011360,1.31e-19,88.029085,-1.018e-15,126.96,
1172,J1525-5605,0.280349,1.16e-16,3.566987,-1.476e-15,333.50,
1173,J1526-2744,0.002489,3.55e-21,401.744602,-5.724e-16,30.95,
1174,J1526-5633,0.301888,1.23e-16,3.312488,-1.350e-15,329.00,
1175,J1526-5652,0.848913,,1.177977,,430.00,
1176,J1527-3931,2.417605,1.91e-14,0.413632,-3.261e-15,48.80,
1177,J1527-5552,1.048720,1.13e-14,0.953543,-1.025e-14,370.05,
1178,J1528-3146,0.060822,2.49e-19,16.441357,-6.718e-17,18.16,
1179,J1528-4109,0.526556,4.00e-16,1.899132,-1.442e-15,89.31,
1180,J1528-5547,3.467302,7.75e-15,0.288409,-6.446e-16,269.00,
1181,J1528-5838,0.355687,2.48e-14,2.811464,-1.957e-13,,
1182,J1529+40,0.476400,,2.099076,,6.61,
1183,J1529-26,0.799000,,1.251564,,44.60,
1184,J1529-3828,0.008486,2.70e-20,117.837233,-3.750e-16,73.66,
1185,J1529-5102,1.268454,,0.788361,,193.80,
1186,J1529-5355,0.891265,8.10e-16,1.122001,-1.020e-15,292.00,
1187,J1529-5609,0.036032,,27.752862,,127.80,
1188,J1529-5611,0.822249,4.10e-15,1.216177,-6.064e-15,149.00,
1189,J1530-2114,0.505000,,1.980198,,38.05,
1190,J1530-5327,0.278960,4.68e-15,3.584743,-6.014e-14,48.99,
1191,J1530-5724,0.568030,,1.760470,,253.60,
1192,J1530-6343,0.910320,8.26e-16,1.098515,-9.973e-16,206.43,
1193,J1531-4012,0.356849,9.60e-17,2.802303,-7.540e-16,106.60,
1194,J1531-5610,0.084211,1.38e-14,11.874942,-1.941e-12,110.71,
1195,J1532+2745,1.124836,7.80e-16,0.889019,-6.161e-16,14.69,
1196,J1532-5308,0.443825,6.50e-17,2.253142,-3.300e-16,181.00,
1197,J1532-56,0.522977,,1.912130,,282.00,
1198,J1534-4428,1.221426,1.83e-16,0.818715,-1.227e-16,137.46,
1199,J1534-46,0.364835,,2.740965,,64.00,
1200,J1534-5334,1.368882,1.43e-15,0.730523,-7.625e-16,25.27,
1201,J1534-5405,0.289690,1.55e-15,3.451961,-1.850e-14,190.60,
1202,J1535-4114,0.432869,4.07e-15,2.310168,-2.174e-14,66.14,
1203,J1535-4415,0.468402,4.05e-17,2.134920,-1.846e-16,110.70,
1204,J1535-5450,0.566734,1.43e-14,1.764496,-4.464e-14,219.80,
1205,J1535-5848,0.307179,2.72e-15,3.255426,-2.877e-14,107.40,
1206,J1536+17,0.933300,,1.071467,,29.00,
1207,J1536-30,1.901000,,0.526039,,63.60,
1208,J1536-3602,1.319759,7.90e-16,0.757714,-4.536e-16,86.40,
1209,J1536-4948,0.003080,2.12e-20,324.684384,-2.234e-15,38.00,
1210,J1536-5433,0.881438,1.91e-15,1.134509,-2.460e-15,147.50,
1211,J1536-5907,0.557841,1.37e-15,1.792627,-4.390e-15,316.00,
1212,J1536-6142,0.369501,,2.706353,,292.00,
1213,J1536-6149,0.006875,,145.451097,,245.00,
1214,J1537+1155,0.037904,2.42e-18,26.382133,-1.686e-15,11.62,
1215,J1537-4912,0.301312,1.94e-15,3.318821,-2.138e-14,69.79,
1216,J1537-5153,1.528124,4.17e-15,0.654397,-1.787e-15,93.00,
1217,J1537-5312,0.006927,1.59e-20,144.360649,-3.305e-16,117.69,
1218,J1537-5645,0.430464,2.78e-15,2.323074,-1.500e-14,707.00,
1219,J1537-61,0.369501,,2.706349,,288.70,
1220,J1538+2345,3.449385,6.89e-15,0.289907,-5.790e-16,14.91,
1221,J1538-5438,0.276726,1.42e-15,3.613681,-1.860e-14,136.90,
1222,J1538-5519,0.395731,4.10e-17,2.526971,-2.618e-16,611.00,
1223,J1538-5551,0.104676,3.21e-15,9.553297,-2.927e-13,602.67,
1224,J1538-5621,1.908494,7.31e-15,0.523973,-2.007e-15,150.00,
1225,J1538-5638,0.843980,7.12e-15,1.184862,-9.996e-15,546.00,
1226,J1538-5732,0.341216,4.53e-15,2.930697,-3.894e-14,151.44,
1227,J1538-5750,0.506568,4.20e-17,1.974067,-1.637e-16,91.00,
1228,J1539-4828,1.272842,1.27e-15,0.785644,-7.820e-16,117.00,
1229,J1539-5521,1.004958,7.28e-16,0.995066,-7.208e-16,380.00,
1230,J1539-5626,0.243395,4.85e-15,4.108545,-8.183e-14,175.97,
1231,J1539-6322,1.630846,2.02e-16,0.613179,-7.580e-17,163.50,
1232,J1540-5736,0.612916,4.21e-16,1.631544,-1.120e-15,304.50,
1233,J1540-5821,3.474720,,0.287793,,427.00,
1234,J1541+4703,0.277701,2.10e-16,3.600999,-2.720e-15,19.40,
1235,J1541-42,,,,,60.00,
1236,J1541-5535,0.295838,7.50e-14,3.380233,-8.572e-13,426.10,
1237,J1542-5034,0.599249,4.04e-15,1.668756,-1.125e-14,89.57,
1238,J1542-5133,1.783865,5.89e-16,0.560581,-1.850e-16,186.00,
1239,J1542-5303,1.207621,7.78e-14,0.828074,-5.332e-14,265.58,
1240,J1543+0929,0.748449,4.32e-16,1.336097,-7.720e-16,34.98,
1241,J1543-0620,0.709065,8.80e-16,1.410308,-1.749e-15,18.53,
1242,J1543-5013,0.644255,1.01e-14,1.552180,-2.441e-14,211.00,
1243,J1543-5149,0.002057,1.62e-21,486.154231,-3.821e-16,50.98,
1244,J1543-5439,0.004312,,231.894533,,102.16,
1245,J1543-5459,0.377138,5.21e-14,2.651551,-3.663e-13,344.99,
1246,J1544+4937,0.002159,2.80e-21,463.115536,-5.998e-16,23.22,
1247,J1544-0713,0.484130,1.14e-15,2.065562,-4.849e-15,30.73,
1248,J1544-5308,0.178554,6.03e-17,5.600550,-1.890e-15,35.21,
1249,J1545-4550,0.003575,5.25e-20,279.697699,-4.104e-15,68.39,
1250,J1546-3747A,0.002606,,383.778121,,92.17,
1251,J1546-5302,0.580848,1.18e-14,1.721621,-3.495e-14,286.54,
1252,J1546-5925,0.007797,1.61e-20,128.258917,-2.649e-16,168.50,
1253,J1547-0944,1.576925,2.94e-15,0.634146,-1.182e-15,37.42,
1254,J1547-5056,0.452782,,2.208568,,107.00,
1255,J1547-5709,0.004291,7.45e-21,233.037978,-4.046e-16,95.72,
1256,J1547-5750,0.647198,2.56e-17,1.545123,-6.100e-17,148.00,
1257,J1547-5839,0.242191,5.91e-16,4.128977,-1.008e-14,223.51,
1258,J1548-4821,0.145655,1.15e-19,6.865552,-5.420e-18,125.65,
1259,J1548-4927,0.602741,4.05e-15,1.659088,-1.116e-14,140.79,
1260,J1548-55,0.541382,,1.847124,,446.00,
1261,J1548-5607,0.170942,1.07e-14,5.849949,-3.673e-13,314.39,
1262,J1549+2113,1.262471,8.54e-16,0.792097,-5.359e-16,24.05,
1263,J1549-4848,0.288355,1.41e-14,3.467949,-1.697e-13,55.98,
1264,J1549-5337,0.003317,,301.503639,,184.00,
1265,J1549-57,0.737500,,1.355932,,18.00,
1266,J1549-5722,0.497772,4.70e-17,2.008950,-1.897e-16,102.00,
1267,J1550-5242,0.749671,1.78e-14,1.333918,-3.159e-14,337.66,
1268,J1550-5317,1.421124,9.35e-16,0.703668,-4.630e-16,600.00,
1269,J1550-5418,2.069833,2.32e-11,0.483131,-5.411e-12,697.00,
1270,J1551-0658,0.007094,2.05e-20,140.969050,-4.074e-16,21.58,
1271,J1551-4424,0.674060,1.84e-16,1.483546,-4.040e-16,66.33,
1272,J1551-5310,0.453448,1.95e-13,2.205326,-9.476e-13,491.60,
1273,J1551-6214,0.198839,2.28e-17,5.029204,-5.760e-16,123.56,
1274,J1552+5437,0.002428,2.80e-21,411.880531,-4.746e-16,22.90,
1275,J1552-4937,0.006284,1.90e-20,159.126424,-4.811e-16,113.80,
1276,J1553-5456,1.081347,1.57e-14,0.924772,-1.344e-14,210.00,
1277,J1554+18,,,,,24.00,
1278,J1554-4854,0.464779,,2.151562,,255.60,
1279,J1554-5209,0.125230,2.29e-15,7.985335,-1.463e-13,130.80,
1280,J1554-5512,3.418039,3.12e-14,0.292565,-2.671e-15,450.00,
1281,J1554-5906,0.008702,,114.914157,,130.13,
1282,J1555+01,,,,,18.50,
1283,J1555-0515,0.975410,2.05e-15,1.025210,-2.159e-15,23.46,
1284,J1555-2341,0.532578,6.94e-16,1.877658,-2.446e-15,52.24,
1285,J1555-2908,0.001788,4.45e-20,559.440006,-1.394e-14,75.91,
1286,J1555-3134,0.518110,6.22e-17,1.930093,-2.318e-16,73.05,
1287,J1555-53,1.170896,,0.854047,,785.00,
1288,J1556-52,1.170894,,0.854049,,757.00,
1289,J1556-5358,0.994681,1.04e-14,1.005348,-1.053e-14,436.00,
1290,J1557-4258,0.329187,3.30e-16,3.037785,-3.049e-15,144.50,
1291,J1557-5151,0.408155,7.54e-17,2.450051,-4.526e-16,464.00,
1292,J1557-54,0.583758,,1.713037,,714.00,
1293,J1558-5419,0.594575,6.04e-15,1.681873,-1.709e-14,657.00,
1294,J1558-5756,1.122342,1.86e-13,0.890994,-1.480e-13,127.80,
1295,J1558-67,0.267268,,3.741563,,105.00,
1296,J1559-44,1.169890,,0.854781,,122.00,
1297,J1559-4438,0.257057,1.02e-15,3.890185,-1.545e-14,56.04,
1298,J1559-55,1.300737,,0.768795,,345.00,
1299,J1559-5545,0.957267,1.99e-14,1.044641,-2.173e-14,212.90,
1300,J1600-3053,0.003598,9.50e-21,277.937707,-7.339e-16,52.33,
1301,J1600-49,0.287526,,3.477945,,328.00,
1302,J1600-5044,0.192606,5.06e-15,5.191955,-1.365e-13,262.79,
1303,J1600-5751,0.194456,2.13e-15,5.142554,-5.631e-14,176.51,
1304,J1600-5916,1.247666,8.87e-16,0.801496,-5.700e-16,177.00,
1305,J1601-50,0.860777,,1.161741,,59.00,
1306,J1601-5244,2.559357,7.21e-16,0.390723,-1.100e-16,273.00,
1307,J1601-5335,0.288479,6.23e-14,3.466453,-7.492e-13,195.20,
1308,J1602+3901,0.003708,,269.687163,,17.26,
1309,J1602-1009,0.003116,4.77e-21,320.947210,-4.918e-16,34.35,
1310,J1602-4957,0.819990,1.59e-14,1.219527,-2.371e-14,319.00,
1311,J1602-5100,0.864297,6.94e-14,1.157010,-9.293e-14,170.81,
1312,J1603+18,0.503000,,1.988072,,29.70,
1313,J1603-1655,0.714700,,1.399188,,63.22,
1314,J1603-2531,0.283071,1.59e-15,3.532679,-1.989e-14,53.76,
1315,J1603-2712,0.778316,3.01e-15,1.284826,-4.968e-15,45.98,
1316,J1603-3539,0.141909,1.24e-16,7.046786,-6.181e-15,78.42,
1317,J1603-5312,0.839221,4.96e-14,1.191582,-7.043e-14,142.00,
1318,J1603-54,0.960792,,1.040808,,472.00,
1319,J1603-5657,0.496080,2.78e-15,2.015806,-1.130e-14,264.18,
1320,J1603-7202,0.014842,1.56e-20,67.376581,-7.095e-17,38.05,
1321,J1604-0057,1.675869,9.27e-16,0.596705,-3.300e-16,32.30,
1322,J1604-3142,0.883890,2.65e-17,1.131362,-3.390e-17,58.30,
1323,J1604-44,1.389200,,0.719839,,175.00,
1324,J1604-4718,0.527466,4.96e-15,1.895857,-1.783e-14,55.10,
1325,J1604-4832,0.007718,,129.567111,,207.80,
1326,J1604-4909,0.327419,1.02e-15,3.054195,-9.503e-15,140.75,
1327,J1604-7203,0.341403,8.40e-17,2.929090,-7.207e-16,54.37,
1328,J1605+3249,6.880000,,0.145349,,,
1329,J1605-52,2.193373,,0.455919,,461.00,
1330,J1605-5215,1.013609,4.75e-15,0.986574,-4.620e-15,532.00,
1331,J1605-5228,2.193373,,0.455919,,461.00,
1332,J1605-5257,0.658013,2.56e-16,1.519726,-5.911e-16,34.79,
1333,J1607-0032,0.421816,3.06e-16,2.370701,-1.720e-15,10.68,
1334,J1607-5140,0.342723,2.54e-15,2.917810,-2.160e-14,533.00,
1335,J1607-6449,0.298116,2.49e-17,3.354395,-2.802e-16,89.39,
1336,J1609-1930,1.557917,5.09e-16,0.641883,-2.097e-16,37.00,
1337,J1609-4616,0.249609,5.00e-16,4.006261,-8.022e-15,150.01,
1338,J1609-5158,1.279402,1.30e-14,0.781615,-7.920e-15,1069.00,
1339,J1610-1322,1.018393,2.30e-16,0.981939,-2.216e-16,49.13,
1340,J1610-17,,,,,53.00,
1341,J1610-4938,0.227419,,4.397176,,365.00,
1342,J1610-5006,0.481119,1.36e-14,2.078488,-5.886e-14,410.00,
1343,J1610-5303,0.786468,2.62e-15,1.271508,-4.228e-15,380.10,
1344,J1611-01,1.296870,,0.771087,,27.21,
1345,J1611-0114,2.593726,4.08e-15,0.385546,-6.070e-16,27.70,
1346,J1611-29,0.009600,,104.166667,,83.03,
1347,J1611-4811,1.296850,1.95e-15,0.771099,-1.159e-15,221.00,
1348,J1611-4949,0.666438,5.31e-16,1.500514,-1.196e-15,555.71,
1349,J1611-5209,0.182495,5.17e-15,5.479608,-1.552e-13,127.26,
1350,J1611-5847,0.354550,2.01e-18,2.820474,-1.600e-17,79.90,
1351,J1612+2008,0.426646,3.73e-17,2.343864,-2.048e-16,19.51,
1352,J1612-2408,0.923834,1.57e-15,1.082446,-1.844e-15,49.20,
1353,J1612-49,0.192687,,5.189759,,439.00,
1354,J1612-5022,1.368283,3.40e-17,0.730843,-1.816e-17,248.70,
1355,J1612-5136,0.483311,3.78e-15,2.069063,-1.620e-14,1173.00,
1356,J1612-53,0.732121,,1.365895,,573.80,
1357,J1612-55,0.846907,,1.180767,,312.00,
1358,J1612-5805,0.615521,9.34e-16,1.624640,-2.465e-15,170.98,
1359,J1613-4714,0.382377,6.34e-16,2.615221,-4.335e-15,160.17,
1360,J1613-5211,0.457516,1.92e-14,2.185718,-9.181e-14,361.87,
1361,J1613-5234,0.655221,6.63e-15,1.526204,-1.544e-14,624.00,
1362,J1614+0737,1.206803,2.36e-15,0.828635,-1.620e-15,21.39,
1363,J1614-2230,0.003151,9.62e-21,317.378942,-9.694e-16,34.48,
1364,J1614-2318,0.033504,5.15e-20,29.847539,-4.590e-17,52.43,
1365,J1614-3846,0.464106,9.20e-16,2.154679,-4.271e-15,111.00,
1366,J1614-3937,0.407292,1.59e-16,2.455238,-9.571e-16,151.90,
1367,J1614-4608,0.888793,,1.125121,,318.00,
1368,J1614-5048,0.231694,4.95e-13,4.316041,-9.220e-12,582.40,
1369,J1614-5144,1.534008,7.44e-15,0.651887,-3.162e-15,748.00,
1370,J1614-52,0.509903,,1.961158,,673.00,
1371,J1614-5402,0.572592,2.90e-17,1.746443,-8.845e-17,300.00,
1372,J1615-2940,2.477568,1.58e-15,0.403622,-2.581e-16,44.79,
1373,J1615-4958,0.558258,1.46e-15,1.791288,-4.688e-15,240.70,
1374,J1615-5137,0.179278,1.06e-14,5.577936,-3.306e-13,,
1375,J1615-5444,0.360958,3.38e-16,2.770408,-2.592e-15,312.60,
1376,J1615-5537,0.791528,2.00e-15,1.263380,-3.190e-15,124.50,
1377,J1615-5609,0.003359,,297.696130,,72.03,
1378,J1616-5017,0.491384,4.66e-14,2.035068,-1.930e-13,194.00,
1379,J1616-5109,1.219594,1.91e-14,0.819945,-1.283e-14,1160.00,
1380,J1616-5208,1.025831,2.89e-14,0.974820,-2.747e-14,488.00,
1381,J1617+1123,0.894924,3.02e-16,1.117413,-3.769e-16,48.61,
1382,J1617-2258A,0.004318,6.15e-20,231.572029,-3.300e-15,66.81,
1383,J1617-4216,3.428479,1.82e-14,0.291675,-1.544e-15,164.38,
1384,J1617-4608,0.567080,1.65e-14,1.763419,-5.121e-14,321.50,
1385,J1617-5055,0.069357,1.35e-13,14.418187,-2.809e-11,467.00,
1386,J1618-36,0.005779,,173.047894,,104.00,
1387,J1618-3921,0.011987,5.38e-20,83.421563,-3.744e-16,117.95,
1388,J1618-42,1.867136,,0.535580,,200.50,
1389,J1618-4624,0.005931,3.10e-21,168.595185,-8.812e-17,125.41,
1390,J1618-4723,0.407109,4.06e-15,2.456347,-2.450e-14,134.58,
1391,J1619+3953,1.883798,1.23e-15,0.530843,-3.460e-16,23.00,
1392,J1619-3345,1.158600,,0.863111,,89.70,
1393,J1619-42,1.023152,,0.977372,,172.00,
1394,J1620-4927,0.171935,1.05e-14,5.816163,-3.548e-13,,
1395,J1620-5414,1.156360,6.74e-17,0.864782,-5.040e-17,71.00,
1396,J1621-5039,1.084029,1.30e-14,0.922484,-1.108e-14,264.60,
1397,J1621-5243,0.371925,7.60e-16,2.688717,-5.493e-15,363.39,
1398,J1622-0315,0.003845,1.14e-20,260.049004,-7.730e-16,21.41,
1399,J1622-3751,0.731463,2.57e-15,1.367124,-4.803e-15,155.70,
1400,J1622-4332,0.916939,1.56e-15,1.090585,-1.861e-15,230.68,
1401,J1622-4347,0.457681,5.05e-15,2.184926,-2.411e-14,177.00,
1402,J1622-4802,0.265072,3.14e-16,3.772553,-4.469e-15,366.42,
1403,J1622-4845,0.735092,1.10e-16,1.360375,-2.036e-16,292.00,
1404,J1622-4944,1.072968,1.71e-14,0.931994,-1.484e-14,755.00,
1405,J1622-4950,4.327020,2.78e-12,0.231106,-1.483e-13,820.00,
1406,J1622-6617,0.023623,5.88e-20,42.330829,-1.054e-16,88.00,
1407,J1623-0841,0.503015,1.96e-15,1.988012,-7.729e-15,59.79,
1408,J1623-0908,1.276448,2.58e-15,0.783424,-1.584e-15,68.22,
1409,J1623-2631,0.011076,6.71e-19,90.287332,-5.469e-15,62.86,
1410,J1623-4256,0.364591,1.01e-15,2.742796,-7.562e-15,295.00,
1411,J1623-4608,0.866306,,1.154327,,110.00,
1412,J1623-4931,0.492347,,2.031088,,727.00,
1413,J1623-4949,0.725762,4.20e-14,1.377861,-7.966e-14,181.73,
1414,J1623-5005,0.085072,4.16e-15,11.754729,-5.750e-13,,
1415,J1623-6936,0.002410,9.06e-21,414.959627,-1.560e-15,46.41,
1416,J1624+5850,0.651801,3.31e-16,1.534211,-7.791e-16,26.40,
