
index,JNAME,P0,P1,F0,F1,DM,
88,J0111+6624,4.301872,8.36e-15,0.232457,-4.520e-16,111.20,
89,J0111-7131,0.688542,7.09e-15,1.452345,-1.496e-14,79.40,
90,J0113-7220,0.325883,4.86e-15,3.068586,-4.575e-14,125.49,
91,J0115+6325,0.521455,1.60e-15,1.917709,-5.880e-15,65.07,
92,J0117+5914,0.101439,5.85e-15,9.858135,-5.685e-13,49.42,
93,J0120+1837,1.313385,1.36e-17,0.761391,-7.900e-18,13.40,
94,J0121+53,2.724785,,0.367001,,91.38,
95,J0122+1416,1.388994,3.80e-15,0.719946,-1.971e-15,17.69,
96,J0125+62,1.708230,,0.585401,,118.00,
97,J0125-2327,0.003675,1.84e-20,272.081088,-1.363e-15,9.60,
98,J0129+36,1.089000,,0.918274,,54.00,
99,J0131-7310,0.348124,1.76e-15,2.872539,-1.453e-14,205.22,
100,J0133-6957,0.463474,1.20e-16,2.157620,-5.586e-16,22.95,
101,J0134-2937,0.136962,7.84e-17,7.301316,-4.178e-15,21.79,
102,J0137+1654,0.414763,1.22e-17,2.411015,-7.109e-17,26.08,
103,J0137+6349,0.717963,9.60e-16,1.392830,-1.862e-15,285.50,
104,J0139+3336,1.247961,2.06e-15,0.801307,-1.325e-15,21.23,
105,J0139+5621,1.775344,7.91e-14,0.563271,-2.510e-14,101.84,
106,J0139+5814,0.272451,1.07e-14,3.670390,-1.443e-13,73.81,
107,J0141+6009,1.222949,3.91e-16,0.817696,-2.615e-16,34.93,
108,J0141+63,0.046686,,21.419743,,272.80,
109,J0141+6303,0.046680,1.65e-18,21.422324,-7.555e-16,272.76,
110,J0146+31,0.938100,,1.065984,,25.00,
111,J0146+6145,8.688994,1.99e-12,0.115088,-2.640e-14,,
112,J0147+5922,0.196321,2.57e-16,5.093689,-6.662e-15,40.11,
113,J0149+29,2.654000,,0.376790,,35.00,
114,J0151-0635,1.464665,4.43e-16,0.682750,-2.063e-16,25.49,
115,J0152+0948,2.746647,1.70e-15,0.364080,-2.253e-16,22.88,
116,J0152-1637,0.832742,1.30e-15,1.200853,-1.874e-15,11.93,
117,J0154+1833,0.002365,2.92e-21,422.909914,-5.220e-16,19.80,
118,J0156+04,,,,,27.50,
119,J0156+3949,1.811561,1.52e-16,0.552010,-4.620e-17,59.83,
120,J0157+6212,2.351745,1.89e-13,0.425216,-3.416e-14,30.21,
121,J0158+21,0.505300,,1.979022,,20.00,
122,J0201+7005,1.349184,5.51e-15,0.741188,-3.029e-15,21.03,
123,J0203-0150,0.005173,1.43e-20,193.299398,-5.336e-16,19.22,
124,J0205+6449,0.065716,1.94e-13,15.217011,-4.487e-11,140.70,
